Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000043,Brighton and Hove,8,8 or more people in household,190,0.16
E06000044,Portsmouth,1,1 person in household,27607,32.04
E06000044,Portsmouth,2,2 people in household,27805,32.27
E06000044,Portsmouth,3,3 people in household,13930,16.17
E06000044,Portsmouth,4,4 people in household,10788,12.52
E06000044,Portsmouth,5,5 people in household,4032,4.68
E06000044,Portsmouth,6,6 people in household,1291,1.5
E06000044,Portsmouth,7,7 people in household,476,0.55
E06000044,Portsmouth,8,8 or more people in household,225,0.26
E06000045,Southampton,1,1 person in household,33711,32.96
E06000045,Southampton,2,2 people in household,32884,32.15
E06000045,Southampton,3,3 people in household,15636,15.29
E06000045,Southampton,4,4 people in household,12333,12.06
E06000045,Southampton,5,5 people in household,4934,4.82
E06000045,Southampton,6,6 people in household,1822,1.78
E06000045,Southampton,7,7 people in household,593,0.58
E06000045,Southampton,8,8 or more people in household,378,0.37
E08000003,Manchester,1,1 person in household,71577,33.33
E08000003,Manchester,2,2 people in household,62664,29.18
E08000003,Manchester,3,3 people in household,32180,14.99
E08000003,Manchester,4,4 people in household,24487,11.4
E08000003,Manchester,5,5 people in household,12817,5.97
E08000003,Manchester,6,6 people in household,6275,2.92
E08000003,Manchester,7,7 people in household,2700,1.26
E08000003,Manchester,8,8 or more people in household,2029,0.94
E08000012,Liverpool,1,1 person in household,76340,36.79
E08000012,Liverpool,2,2 people in household,62338,30.04
E08000012,Liverpool,3,3 people in household,32801,15.81
E08000012,Liverpool,4,4 people in household,23081,11.12
E08000012,Liverpool,5,5 people in household,8364,4.03
E08000012,Liverpool,6,6 people in household,2854,1.38
E08000012,Liverpool,7,7 people in household,1054,0.51
E08000012,Liverpool,8,8 or more people in household,659,0.32
E08000019,Sheffield,1,1 person in household,75759,32.66
E08000019,Sheffield,2,2 people in household,77636,33.47
E08000019,Sheffield,3,3 people in household,34992,15.09
E08000019,Sheffield,4,4 people in household,27650,11.92
E08000019,Sheffield,5,5 people in household,10083,4.35
E08000019,Sheffield,6,6 people in household,3605,1.55
E08000019,Sheffield,7,7 people in household,1306,0.56
E08000019,Sheffield,8,8 or more people in household,919,0.4
E08000021,Newcastle upon Tyne,1,1 person in household,42031,34.23
E08000021,Newcastle upon Tyne,2,2 people in household,39194,31.92
E08000021,Newcastle upon Tyne,3,3 people in household,18742,15.26
E08000021,Newcastle upon Tyne,4,4 people in household,13929,11.34
E08000021,Newcastle upon Tyne,5,5 people in household,5284,4.3
E08000021,Newcastle upon Tyne,6,6 people in household,2212,1.8
E08000021,Newcastle upon Tyne,7,7 people in household,805,0.66
E08000021,Newcastle upon Tyne,8,8 or more people in household,600,0.49
E08000025,Birmingham,1,1 person in household,133224,31.46
E08000025,Birmingham,2,2 people in household,113012,26.69
E08000025,Birmingham,3,3 people in household,63986,15.11
E08000025,Birmingham,4,4 people in household,54503,12.87
E08000025,Birmingham,5,5 people in household,29542,6.98
E08000025,Birmingham,6,6 people in household,15649,3.7
E08000025,Birmingham,7,7 people in household,7273,1.72
E08000025,Birmingham,8,8 or more people in household,6267,1.48
E08000026,Coventry,1,1 person in household,40777,30.4
E08000026,Coventry,2,2 people in household,39787,29.66
E08000026,Coventry,3,3 people in household,22556,16.82
E08000026,Coventry,4,4 people in household,18458,13.76
E08000026,Coventry,5,5 people in household,7827,5.83
E08000026,Coventry,6,6 people in household,2839,2.12
E08000026,Coventry,7,7 people in household,1194,0.89
E08000026,Coventry,8,8 or more people in household,703,0.52
E08000031,Wolverhampton,1,1 person in household,32468,30.88
E08000031,Wolverhampton,2,2 people in household,30542,29.05
E08000031,Wolverhampton,3,3 people in household,17539,16.68
E08000031,Wolverhampton,4,4 people in household,14599,13.89
E08000031,Wolverhampton,5,5 people in household,6342,6.03
E08000031,Wolverhampton,6,6 people in household,2342,2.23
E08000031,Wolverhampton,7,7 people in household,836,0.8
E08000031,Wolverhampton,8,8 or more people in household,473,0.45
E08000032,Bradford,1,1 person in household,64596,30.78
E08000032,Bradford,2,2 people in household,62123,29.6
E08000032,Bradford,3,3 people in household,30899,14.72
E08000032,Bradford,4,4 people in household,25836,12.31
E08000032,Bradford,5,5 people in household,13918,6.63
E08000032,Bradford,6,6 people in household,6663,3.17
E08000032,Bradford,7,7 people in household,3195,1.52
E08000032,Bradford,8,8 or more people in household,2638,1.26
E08000035,Leeds,1,1 person in household,111380,32.62
E08000035,Leeds,2,2 people in household,113145,33.14
E08000035,Leeds,3,3 people in household,51679,15.13
E08000035,Leeds,4,4 people in household,42206,12.36
E08000035,Leeds,5,5 people in household,14687,4.3
E08000035,Leeds,6,6 people in household,5269,1.54
E08000035,Leeds,7,7 people in household,1844,0.54
E08000035,Leeds,8,8 or more people in household,1256,0.37
