Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation
E08000019,Sheffield,2,2 people in household,77636
E08000019,Sheffield,3,3 people in household,34992
E08000019,Sheffield,4,4 people in household,27650
E08000019,Sheffield,5,5 people in household,10083
E08000019,Sheffield,6,6 people in household,3605
E08000019,Sheffield,7,7 people in household,1306
E08000019,Sheffield,8,8 or more people in household,919
E08000021,Newcastle upon Tyne,1,1 person in household,42031
E08000021,Newcastle upon Tyne,2,2 people in household,39194
E08000021,Newcastle upon Tyne,3,3 people in household,18742
E08000021,Newcastle upon Tyne,4,4 people in household,13929
E08000021,Newcastle upon Tyne,5,5 people in household,5284
E08000021,Newcastle upon Tyne,6,6 people in household,2212
E08000021,Newcastle upon Tyne,7,7 people in household,805
E08000021,Newcastle upon Tyne,8,8 or more people in household,600
E08000025,Birmingham,1,1 person in household,133224
E08000025,Birmingham,2,2 people in household,113012
E08000025,Birmingham,3,3 people in household,63986
E08000025,Birmingham,4,4 people in household,54503
E08000025,Birmingham,5,5 people in household,29542
E08000025,Birmingham,6,6 people in household,15649
E08000025,Birmingham,7,7 people in household,7273
E08000025,Birmingham,8,8 or more people in household,6267
E08000026,Coventry,1,1 person in household,40777
E08000026,Coventry,2,2 people in household,39787
E08000026,Coventry,3,3 people in household,22556
E08000026,Coventry,4,4 people in household,18458
E08000026,Coventry,5,5 people in household,7827
E08000026,Coventry,6,6 people in household,2839
E08000026,Coventry,7,7 people in household,1194
E08000026,Coventry,8,8 or more people in household,703
E08000031,Wolverhampton,1,1 person in household,32468
E08000031,Wolverhampton,2,2 people in household,30542
E08000031,Wolverhampton,3,3 people in household,17539
E08000031,Wolverhampton,4,4 people in household,14599
E08000031,Wolverhampton,5,5 people in household,6342
E08000031,Wolverhampton,6,6 people in household,2342
E08000031,Wolverhampton,7,7 people in household,836
E08000031,Wolverhampton,8,8 or more people in household,473
E08000032,Bradford,1,1 person in household,64596
E08000032,Bradford,2,2 people in household,62123
E08000032,Bradford,3,3 people in household,30899
E08000032,Bradford,4,4 people in household,25836
E08000032,Bradford,5,5 people in household,13918
E08000032,Bradford,6,6 people in household,6663
E08000032,Bradford,7,7 people in household,3195
E08000032,Bradford,8,8 or more people in household,2638
E08000035,Leeds,1,1 person in household,111380
E08000035,Leeds,2,2 people in household,113145
E08000035,Leeds,3,3 people in household,51679
E08000035,Leeds,4,4 people in household,42206
E08000035,Leeds,5,5 people in household,14687
E08000035,Leeds,6,6 people in household,5269
E08000035,Leeds,7,7 people in household,1844
E08000035,Leeds,8,8 or more people in household,1256
